x,y,z
177865.13,544488.48,11.48
177865.13,544398.48,11.82
177865.13,544308.48,12.01
177865.13,544218.48,12.21
177865.13,544128.48,12.59
177865.13,544038.48,13
177865.13,543948.48,13.15
177865.13,543858.48,13.03
177865.13,543768.48,12.89
177865.13,543678.48,12.83
177865.13,543588.48,12.81
177865.13,543498.48,13.11
177865.13,543408.48,13.57
177865.13,543318.48,13.76
177865.13,543228.48,14.1
177865.13,543138.48,14.95
177865.13,543048.48,15.38
177865.13,542958.48,15.02
177865.13,542868.48,14.98
177865.13,542778.48,15.26
177865.13,542688.48,15.69
177865.13,542598.48,16.11
177865.13,542508.48,16.71
177865.13,542418.48,17.46
177865.13,542328.48,18.35
177865.13,542238.48,19.73
177865.13,542148.48,21.1
177865.13,542058.48,21.77
177865.13,541968.48,22.32
177865.13,541878.48,23.26
177865.13,541788.48,24.45
177865.13,541698.48,25.44
177865.13,541608.48,26.26
177865.13,541518.48,27.06
177865.13,541428.48,28.03
177865.13,541338.48,29.26
177865.13,541248.48,30.46
177865.13,541158.48,31.88
177865.13,541068.48,34.12
177865.13,540978.48,36.89
177865.13,540888.48,39.12
177865.13,540798.48,40.53
177865.13,540708.48,41.59
177865.13,540618.48,41.71
177865.13,540528.48,40.39
177865.13,540438.48,39.09
177865.13,540348.48,38.85
177865.13,540258.48,38.55
177865.13,540168.48,36.61
177865.13,540078.48,33.51
177865.13,539988.48,30.52
177865.13,539898.48,27.27
177865.13,539808.48,23.6
177865.13,539718.48,21.16
177865.13,539628.48,19.92
177865.13,539538.48,19.83
177865.13,539448.48,22.17
177865.13,539358.48,24.7
177865.13,539268.48,23.32
177865.13,539178.48,20.16
177865.13,539088.48,18.29
177865.13,538998.48,18.21
177865.13,538908.48,19.18
177865.13,538818.48,21.32
177865.13,538728.48,23.56
177865.13,538638.48,24.67
177865.13,538548.48,27.35
177865.13,538458.48,30.71
177865.13,538368.48,30.91
177865.13,538278.48,28.26
177865.13,538188.48,24.76
177865.13,538098.48,21.8
177865.13,538008.48,20.69
177865.13,537918.48,20.54
177865.13,537828.48,20.1
177865.13,537738.48,18.47
177865.13,537648.48,16.9
177865.13,537558.48,16.25
177865.13,537468.48,15.85
177865.13,537378.48,14.69
177865.13,537288.48,12.89
177865.13,537198.48,11.64
177865.13,537108.48,11.46
177865.13,537018.48,11.03
177865.13,536928.48,9.65
177865.13,536838.48,8.99
177865.13,536748.48,10.14
177865.13,536658.48,11.38
177865.13,536568.48,11.59
177865.13,536478.48,12.25
177865.13,536388.48,13.2
177865.13,536298.48,11.16
177865.13,536208.48,8.44
177865.13,536118.48,7.85
177865.13,536028.48,7.81
177865.13,535938.48,7.68
177865.13,535848.48,7.47
177865.13,535758.48,6.94
177865.13,535668.48,6.34
177865.13,535578.48,6.06
177865.13,535488.48,5.97
177865.13,535398.48,5.41
177865.13,535308.48,4.49
177865.13,535218.48,4.18
177865.13,535128.48,3.95
177865.13,535038.48,3.73
177865.13,534948.48,3.85
177865.13,534858.48,4.13
177865.13,534768.48,4.5
177865.13,534678.48,4.64
177865.13,534588.48,4.55
177865.13,534498.48,4.29
177865.13,534408.48,3.89
177865.13,534318.48,3.51
177865.13,534228.48,3.6
177865.13,534138.48,4.09
177865.13,534048.48,4.4
177865.13,533958.48,4.9
177865.13,533868.48,5.47
177865.13,533778.48,5.33
177865.13,533688.48,4.84
177865.13,533598.48,4.66
177865.13,533508.48,4.54
177865.13,533418.48,3.9
177865.13,533328.48,3.09
177865.13,533238.48,3.06
177865.13,533148.48,3.44
177865.13,533058.48,3.46
